source,name,address,city,country,category,cuisine,price,phone,url,year,latitude,longitude,captured_at,kakao_id,kakao_url
michelin,3rd Samgyetang,"56-3 Banpo-daero 28-gil, Seocho-gu, Seoul, 06646, South Korea",Seoul,South Korea,Selected,"Samgyetang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/3rd-samgyetang,,37.49135,127.01155,2026-02-14T03:18:57.269320+00:00,,
michelin,Andeok,"18 Jahamun-ro 17-gil, Jongno-gu, Seoul, 03035, South Korea",Seoul,South Korea,Selected,"Korean
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-723-1518,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/andeok,,37.58143,126.96969,2026-02-14T03:18:57.269320+00:00,,
michelin,Base is nice,"20 Dohwa 2-gil, Mapo-gu, Seoul, 04171, South Korea",Seoul,South Korea,Bib Gourmand,"Vegetarian
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/base-is-nice,,37.53958,126.94908,2026-02-14T03:18:57.269320+00:00,,
michelin,Bium,"41 Hakdong-ro 97-gil, Gangnam-gu, Seoul, 06072, South Korea",Seoul,South Korea,Selected,"Korean
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-549-8889,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bium,,37.52239,127.05439,2026-02-14T03:18:57.269320+00:00,,
michelin,Bongsanok,"5-6 Banpo-daero 8-gil, Seocho-gu, Seoul, 06716, South Korea",Seoul,South Korea,Selected,"Mandu
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-525-2282,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/bongsanok,,37.48336,127.01242,2026-02-14T03:18:57.269320+00:00,,
michelin,Born and Bred,"2F, 1 Majang-ro 42-gil, Seongdong-gu, Seoul, 04757, South Korea",Seoul,South Korea,Selected,"Barbecue
Family Friendly
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-2294-5005,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/born-and-bred,,37.56697,127.04468,2026-02-14T03:18:57.269320+00:00,,
michelin,Chaconne,"1F, Building 102, Yeoksam Hills, 23 Nonhyeon-ro 97-gil, Gangnam-gu, Seoul, 06131, South Korea",Seoul,South Korea,Selected,"French Contemporary
Groups
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+8210-2693-6392,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/chaconne,,37.50274,127.03376,2026-02-14T03:18:57.269320+00:00,,
michelin,Collage,"2F Ananti at Gangnam, 11 Nonhyeon-ro 136-gil, Gangnam-gu, Seoul, 06051, South Korea",Seoul,South Korea,Selected,"French Contemporary
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-2190-4112,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/collage,,37.51619,127.03099,2026-02-14T03:18:57.269320+00:00,,
michelin,Doori,"27 Wonhyo-ro 63-gil, Yongsan-gu, Seoul, 04364, South Korea",Seoul,South Korea,Selected,"Korean
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/doori,,37.53795,126.96352,2026-02-14T03:18:57.269320+00:00,,
michelin,Épanoui,"3F, 33 Seolleung-ro 146-gil, Gangnam-gu, Seoul, 06064, South Korea",Seoul,South Korea,Selected,"French
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,+822-548-2020,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/epanoui,,37.52187,127.04254,2026-02-14T03:18:57.269320+00:00,,
michelin,Fuje,"2F, 21 Nonhyeon-ro 24-gil, Gangnam-gu, Seoul, 06302, South Korea",Seoul,South Korea,Selected,"Contemporary
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩,+8270-4837-4997,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/fuje,,37.48207,127.04473,2026-02-14T03:18:57.269320+00:00,,
michelin,GiwaKang,"4F, 9 Nonhyeon-ro 152-gil, Gangnam-gu, Seoul, 06025, South Korea",Seoul,South Korea,Selected,"Korean Contemporary
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+822-517-2511,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/giwakang,,37.52107,127.02893,2026-02-14T03:18:57.269320+00:00,,
michelin,Gomtang Lab,"10F, Hyundai Department Store, 517 Teheran-ro, Gangnam-gu, Seoul, 06164, South Korea",Seoul,South Korea,Bib Gourmand,"Gomtang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-517-4656,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/gomtang-lab,,37.50859,127.05971,2026-02-14T03:18:57.269320+00:00,,
michelin,Gosari Express,"12-10, Toegye-ro 85-gil, Jung-gu, Seoul, 04576, South Korea",Seoul,South Korea,Selected,"Vegan
Solo dining
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-2039-3140,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/gosari-express,,37.56626,127.02001,2026-02-14T03:18:57.269320+00:00,,
michelin,Hakusi,"2F, 8-4 Eonju-ro 157-gil, Gangnam-gu, Seoul, 06024, South Korea",Seoul,South Korea,Selected,"Japanese
Chef's Table
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩₩,+8210-7316-6212,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/hakusi,,37.52414,127.03227,2026-02-14T03:18:57.269320+00:00,,
michelin,Hapjeongok,"2F, 21 Yanghwa-ro 1-gil, Mapo-gu, Seoul, 04026, South Korea",Seoul,South Korea,Bib Gourmand,"Gomtang
Eat like a local
Favorite
Visited
Notes
This establishment manages its own bookings",₩,+822-322-4822,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/hapjeongok,,37.54944,126.91037,2026-02-14T03:18:57.269320+00:00,,
michelin,Imok Smoke Dining,"B1F, 6 Apgujeong-ro 2-gil, Gangnam-gu, Seoul, 06027, South Korea",Seoul,South Korea,Selected,"Barbecue
Date night
Favorite
Visited
Notes
This establishment manages its own bookings",₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/imok-smoke-dining,,37.521151,127.019274,2026-02-14T03:18:57.269320+00:00,,
