source,name,address,city,country,category,cuisine,price,phone,url,year,description,latitude,longitude,captured_at,kakao_id,kakao_url,korean_query,name_ko,address_ko
michelin,3rd Samgyetang,"56-3 Banpo-daero 28-gil, Seocho-gu, Seoul",Seoul,South Korea,Selected,Samgyetang,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/3rd-samgyetang,,"Now in its third generation after opening in 1973, 3rd Samgyetang is well-regarded among Seocho locals for its restorative soup. The signature samgyetang features a rich broth of over 40 ingredients, topped with mung bean and pine nut purées, and mugwort paste. The grains give the broth a satisfying body, and the meat from young chickens falls effortlessly off the bone. Spoon some glutinous rice into the broth, add a pinch of glasswort salt, and enjoy the bowl of cosy porridge. Arrive early to avoid long lines during peak hours.",37.49135,127.01155,2026-02-17T22:25:57.141146+00:00,,,,3대 삼계장인,"서초구 반포대로 28길 56-3, Seoul"
michelin,7th Door,"4F, 41 Hakdong-ro 97-gil, Gangnam-gu, Seoul",Seoul,South Korea,1 Star,Contemporary,₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/7th-door,,"Chef Kim Dae-chun’s cooking continues to diversify and deepen over time. The menu at this restaurant embodies the culinary direction he wishes to pursue, largely thanks to his modern Korean preparations. Under the theme of fermentation and aging, the essential attributes of Korean gastronomy, the chef prepares ingredients with care and expertise. The 7th Door symbolises a gastronomic entrance to “the seven tastes of food,” the first five being the five basic tastes; the sixth, the taste of fermentation and aging; and the seventh, the culinary sensibility of the chef.",37.52237,127.05429,2026-02-17T22:25:57.141146+00:00,,,,세븐스도어,"강남구 학동로 97길 41, 4층, Seoul"
michelin,A Flower Blossom on the Rice,"3-6 Insadong 16-gil, Jongno-gu, Seoul",Seoul,South Korea,Bib Gourmand,Korean,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/a-flower-blossom-on-the-rice,,"Located in a quiet alley away from the touristy bustle of Insa-dong, A Flower Blossom on the Rice is a restaurant that caters to the health-conscious diner, serving wholesome home-cooked fare using only certified organic ingredients sourced straight from the farm. The signature dish at this restaurant is the Bojagi Bibimbap — a log of cooked rice topped with five different sautéed vegetables in their multi-colored glory, encased in a crépe-thin egg omelet resembling a gift, tied with a seaweed ribbon and presented with a single flower on top.",37.57535,126.98404,2026-02-17T22:25:57.141146+00:00,,,,꽃밥에피다,"종로구 인사동 16길 3-6, Seoul"
michelin,Aelgerizm,"2F, 8 Dosan-daero 49-gil, Gangnam-gu, Seoul",Seoul,South Korea,Selected,Contemporary,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/aelgerizm,,"Aelgerizm’s modern cuisine will delight your palate with delicate seasonal variations on a theme. The food is inspired by Chef Min-woo Yang’s culinary and life experiences in Japan. He blurs the boundaries of his brand of Japanese cuisine through the inventive use of Western ingredients, always seeking to maintain the right balance to achieve culinary perfection. The menu changes four times a year to reflect Korea’s four distinct seasons, with each seasonal menu organically related to the preceding one. Each dish brings out the inherent flavours of the ingredients, which are delicately balanced with the sauces.",37.5233164,127.0374241,2026-02-17T22:25:57.141146+00:00,,,,알고리즘,"강남구 도산대로 49길 8, 2층, Seoul"
michelin,A L'AISE,"89 Dokseodang-ro, Yongsan-gu, Seoul",Seoul,South Korea,Selected,Modern Cuisine,₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/al-aise,,"A L'AISE embodies the effortless elegance of European ambience. An inviting dining space and casual, soft furnishings create a comfortable atmosphere for diners to relax. The course meals feature a delicate balance of ingredients and sauces, bringing out intriguing flavours. Another distinct culinary delight is the classic French sauces infused with Korean influences, giving each dish a unique touch. Each plate is a mix of simplicity and creativity, where tradition meets modernity.",37.53479,127.01029,2026-02-17T22:25:57.141146+00:00,,,,알레즈,"용산구 독서당로 89, Seoul"
michelin,alla prima,"13 Hakdong-ro 17-gil, Gangnam-gu, Seoul",Seoul,South Korea,2 Stars,Innovative,₩₩₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/alla-prima,,"alla prima's natural flavors of the ingredients are preserved, while the balance of herbs and vegetables adds an alluring aroma.  The tasting menu is original without being overly complex or intimidating. The wide counter offers the best view of the the kitchen’s lively energy,  while the calm, classic ambiance and softly lit dining room ensure that no detail has been overlooked in providing a truly comfortable meal.",37.51346,127.02602,2026-02-17T22:25:57.141146+00:00,,,,알라 프리마,"강남구 학동로 17길 13, Seoul"
michelin,ALT.a,"109 Bogwang-ro, Yongsan-gu, Seoul",Seoul,South Korea,Bib Gourmand,Vegan,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/alt-a,,"ALT.a works exclusively with plant-based ingredients. By reimagining familiar Chinese dishes without animal products, it offers flavours that are both assured and satisfying, even for diners new to vegan cuisine. The cooking is notably light, making the meal easy to enjoy from start to finish. Signatures include vegan jjamppong and fried dishes such as tangsuyuk and yurinyuk, whose crisp coatings and pleasantly chewy textures are convincing enough to surprise even devoted meat eaters. It succeeds not only as a vegan restaurant, but simply as a very good Chinese one.",37.53245,126.99446,2026-02-17T22:25:57.141146+00:00,,,,알트에이,"용산구 보광로 109, Seoul"
michelin,ANAM,"10 Bukchon-ro 5-gil, Jongno-gu, Seoul",Seoul,South Korea,Bib Gourmand,Dwaeji-gukbap,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/anam,,"At this humble diner situated in Bukchon Village, the pork and rice soup comes in two sizes: medium and extra-meat. A special oil made with Cheongyang chilli pepper and kale is drizzled on top of the clean soup, creating a unique visual appearance and rich, harmonious flavours. The Spanish Duroc baby pork ribs and thin slices of pork butt that complement the dish are exceedingly tender and boast delicate flavours, further elevating the gastronomic experience.",37.57939,126.98446,2026-02-17T22:25:57.141146+00:00,,,,안암,"종로구 북촌로 5길 10, Seoul"
michelin,Andeok,"18 Jahamun-ro 17-gil, Jongno-gu, Seoul",Seoul,South Korea,Selected,Korean,₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/andeok,,"Andeok is known for its beef naengguksu and mandutguk. The mulguksu here is similar to Pyongyang-style naengmyeon, though the noodles are softer and springier thanks to the higher buckwheat content. The clean, mild broth is complemented by lightly seasoned beef, delivering a deep, savoury flavour with each bite. Fried peppers are also popular; the meat-and-vegetable filling, encased in a crisp batter, is unexpectedly flavourful. Arriving at opening time is recommended to avoid long queues at lunchtime.",37.58143,126.96969,2026-02-17T22:25:57.141146+00:00,,,,안덕,"종로구 자하문로 17길 18, Seoul"
michelin,Au Bouillon,"29-1 Dokseodang-ro 51-gil, Seongdong-gu, Seoul",Seoul,South Korea,Selected,French,₩₩,,https://guide.michelin.com/us/en/seoul-capital-area/kr-seoul/restaurant/au-bouillon,,"Step into Au Bouillon, and you are transported to a small restaurant tucked in a narrow alleyway in France. The restaurant feels warm and cozy, much like dining in someone’s home. The menu features classic French dishes, all masterfully executed. The pâté de campagne made with duck shoulder and pistachio, pairs wonderfuly with toasted baguette and fig jam, washed down with a sip of wine. Taste the coq au vin, bouillabaisse, and ratatouille—each prepared in the traditional way—and discover a seamless harmony between cuisine and setting.",37.5311165,127.0073647,2026-02-17T22:25:57.141146+00:00,,,,오부이용,"성동구 독서당로 51길 29-1, Seoul"
