source,name,address,city,country,category,cuisine,price,phone,url,year,latitude,longitude,captured_at
blueribbon,17도씨,"22-16 Yanghwa-ro 19-gil, Mapo-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"디저트/스위트, 초콜릿",,02-337-1706,,2026,37.5587445543563,126.924488771563,2026-02-13T04:46:23.305211+00:00
blueribbon,3대삼계장인,"56-3, Banpo-daero 28-gil, Seocho-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"한식(가금류), 삼계탕",,02-522-2270,,2026,37.491302882416,127.011591359711,2026-02-13T04:46:23.305211+00:00
blueribbon,glt젤라또,"10-8, Yanghwa-ro 23-gil, Mapo-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"디저트/스위트, 젤라토",,0507-1353-5629,,2026,37.559162,126.925678,2026-02-13T04:46:23.305211+00:00
blueribbon,NOR,"220 Dosan-daero, Gangnam-gu, Seoul",Seoul,South Korea,RIBBON_ONE,컨템포러리,,,https://nor.seoul.kr/?fbclid=PAZXh0bgNhZW0CMTEAAacqG9upuYDh0orA29lz3ipMhqTL36gM2s52HfUV_sJSLX5b2PbzdRPinQjb4A_aem_qeIgvoSWa1_QH-lrDvslsA,2026,37.5202736076902,127.031119256871,2026-02-13T04:46:23.305211+00:00
blueribbon,txt커피,"121, Changdeokgung-gil, Jongno-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"카페/커피/티, 커피전문점",,070-7760-0121,,2026,37.5828255,126.98902989999999,2026-02-13T04:46:23.305211+00:00
blueribbon,W가나,"20, Dosan-daero 49-gil, Gangnam-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"한식(육류), 한우오마카세",,070-8848-4341,,2026,37.5241891623529,127.037409337867,2026-02-13T04:46:23.305211+00:00
blueribbon,가네끼스시,"16, Boramae-ro 5ga-gil, Dongjak-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"일식, 스시",,02-831-3472,,2026,37.491243,126.924082,2026-02-13T04:46:23.305211+00:00
blueribbon,가봉루,"5-27 Saemunan-ro 5-gil, Jongno-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"중식, 일반중식",,02-736-8100,,2026,37.5710268990296,126.974571894891,2026-02-13T04:46:23.305211+00:00
blueribbon,가양칼국수버섯매운탕,"78, Gukjegeumyung-ro, Yeongdeungpo-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"한식(면류), 칼국수",,02-784-0409,,2026,37.52078,126.9311,2026-02-13T04:46:23.305211+00:00
blueribbon,가이센,"10-6, Gomurae-ro, Seocho-gu, Seoul",Seoul,South Korea,RIBBON_ONE,"일식주점, 이자카야",,070-7715-8149,,2026,37.503518,127.009698,2026-02-13T04:46:23.305211+00:00
