source,name,address,city,country,category,cuisine,price,phone,url,year,description,latitude,longitude,captured_at,kakao_id,kakao_url,korean_query,name_ko,address_ko,description_en,description_ko
blueribbon,영춘옥,서울특별시 종로구 돈화문로5가길 13,Seoul,South Korea,RIBBON_TWO,,,02-765-4237 ,,2026,,37.57132,126.991513,2026-02-17T22:29:33.775718+00:00,,,,영춘옥,서울특별시 종로구 돈화문로5가길 13,"Step into Yeongchunok (영춘옥), a beloved institution in Jongno that's been serving up hearty Korean comfort food for 85 years. This no-nonsense eatery, with its distinct retro vibe, is a popular spot for both locals and younger crowds drawn to its authentic atmosphere. Open 24 hours, it's the perfect place to grab a satisfying meal any time of day or night.

The star of the show is the rich Gomtang (곰탕), a clear, savory beef bone broth, and the Oxtail Gomtang (꼬리곰탕). The Oxtail Gomtang features generous, long-cut pieces of tender oxtail, served with a pile of fresh green onions that are best enjoyed dipped in the accompanying seasoned soy sauce. It's a simple yet deeply flavorful experience that embodies the essence of traditional Korean cuisine.","85년의 역사를 자랑하는 종로의 터줏대감, 영춘옥에 오신 것을 환영합니다. 레트로 감성이 물씬 풍기는 이곳은 오랜 시간 동안 변함없는 맛으로 현지인과 젊은층 모두에게 사랑받는 명소입니다. 24시간 영업으로 언제든 든든한 한 끼 식사를 즐길 수 있다는 점도 큰 매력입니다.

이곳의 대표 메뉴는 맑고 깊은 맛의 곰탕(Gomtang)과 꼬리곰탕(Oxtail Gomtang)입니다. 특히 꼬리곰탕은 푸짐하게 제공되는 신선한 대파를 곁들여 양념장에 찍어 먹는 것이 별미입니다. 길게 썰어낸 부드러운 꼬리 고기와 함께, 한국 전통의 맛을 제대로 느낄 수 있는 소박하지만 깊이 있는 경험을 선사합니다."
blueribbon,서북면옥,서울특별시 광진구 자양로 199-1,Seoul,South Korea,RIBBON_TWO,,,02-457-8319 ,,2026,,37.54538,127.0853,2026-02-17T22:29:33.775718+00:00,,,,서북면옥,서울특별시 광진구 자양로 199-1,"Step into Seobuk Myeonok (서북면옥) for a taste of authentic Pyeongyang-style naengmyeon (평양냉면). This beloved spot, with its nostalgic, old-school charm, is known for its deeply flavorful meat broth that perfectly complements the chewy buckwheat noodles. Don't miss their signature mul-naengmyeon (물냉면), a refreshing bowl that's surprisingly addictive and pairs wonderfully with a shot of soju (소주) - though be aware, soju isn't served on weekends and holidays. The handmade dumplings (만두) and tender suyuk (수육) are also highly recommended additions to your meal.","서북면옥(Seobuk Myeonok)은 정통 평양냉면(Pyeongyang-style naengmyeon)을 맛볼 수 있는 곳입니다. 오래된 듯한 향수를 불러일으키는 매력적인 이 곳은 깊고 풍부한 육수 맛으로 유명하며, 쫄깃한 메밀면과 환상적인 조화를 이룹니다. 특히 시원하고 중독성 있는 물냉면(mul-naengmyeon)은 소주(soju)와 함께 즐기기 좋지만, 주말과 공휴일에는 판매하지 않으니 참고하세요. 손수 빚은 만두(mandu)와 부드러운 수육(suyuk)도 곁들이면 더욱 풍성한 식사를 즐길 수 있습니다."
blueribbon,하동관,서울특별시 중구 명동9길 12,Seoul,South Korea,RIBBON_TWO,,,02-776-5656 ,,2026,,37.56441,126.9851,2026-02-17T22:29:33.775718+00:00,,,,하동관,서울특별시 중구 명동9길 12,"This establishment is a hidden gem, a testament to dedication and quality that builds over time, much like renowned Seoul institutions. They focus on a clean, pure broth, reminiscent of the famous Haidonggwan (하동관) style, but with a unique twist – it's like Haidonggwan's gomtang (곰탕) without the tripe. Using only premium Korean beef, their clear, unadulterated soup is a hit with all ages, offering a healthy and comforting meal that stands apart from heavily seasoned alternatives. It's a place where the quality of ingredients shines through, requiring no artificial enhancements.","이곳은 오랜 시간과 정성을 통해 명성을 쌓아온 서울의 유명 식당들처럼, 헌신과 품질을 보여주는 숨겨진 보석입니다. 유명한 하동관(하동관) 스타일을 연상시키는 맑고 순수한 육수에 집중하지만, 특이하게도 하동관의 곰탕에서 양(곱창)만 뺀 듯한 독특한 맛을 선사합니다. 최상급 한우만을 사용하여 맑고 인공적인 첨가물 없이 끓여낸 이 국물은 모든 연령층에게 사랑받으며, 양념이 강한 다른 음식들과는 확연히 구분되는 건강하고 편안한 식사를 제공합니다. 재료 본연의 맛이 빛나는 곳으로, 인위적인 맛을 더할 필요가 없습니다."
blueribbon,경인미술관전통다원,서울특별시 종로구 인사동10길 11-4,Seoul,South Korea,RIBBON_TWO,,,02-730-6305 ,,2026,,37.57451,126.9856,2026-02-17T22:29:33.775718+00:00,,,,경인미술관전통다원,서울특별시 종로구 인사동10길 11-4,"Step into a tranquil oasis in the heart of Insadong at Gyeongin Traditional Tea House (경인미술관전통다원). This charming spot, formerly known as Gyeongin Dadang, offers a serene escape reminiscent of college days. Enjoy traditional teas, particularly the refreshing nokcha (녹차), served with a large mahot병 (mahot병) and a unique ritual of savoring the tea's color, aroma, and taste over three distinct experiences. The ambiance, with its traditional papered windows and the gentle glow of the moon, provides a perfect setting for quiet reflection and conversation.","인사동 중심부의 고요한 오아시스, 경인미술관전통다원으로 들어서 보세요. 예전 경인다당으로 알려졌던 이 매력적인 장소는 대학 시절을 떠올리게 하는 고즈넉한 탈출구를 제공합니다. 특히 시원한 녹차를 전통적인 마호병과 함께 즐기며, 차의 빛깔, 향, 맛을 세 번의 다른 경험으로 음미하는 독특한 의식을 경험해 보세요. 전통 창호지와 은은한 달빛이 어우러진 분위기는 조용한 성찰과 대화를 위한 완벽한 배경을 선사합니다."
blueribbon,MAYBELL BAKERY,서울특별시 용산구 이태원로45길 34,Seoul,South Korea,RIBBON_TWO,,,0507-1332-9481,,2026,,37.5366074435475,126.997831352071,2026-02-17T22:29:33.775718+00:00,,,,오월의종,서울특별시 용산구 이태원로45길 34,"Step into Maybell Bakery, a charming red brick establishment that feels like a hidden gem. Despite its popularity, with crowds often filling the space, the staff are incredibly accommodating, even managing to squeeze in extra seating for a group. The bakery offers a delightful array of healthy breads and coffee, making it a perfect spot for a relaxed catch-up with friends. Don't miss their signature coffee bread and fig rye bread (무화과호밀빵), paired with a cup of their subtly acidic, high-quality coffee.","붉은 벽돌집의 매력적인 공간, 메이벨 베이커리에 들어서면 숨겨진 보석을 발견한 듯한 느낌을 받을 수 있습니다. 늘 사람들로 붐비는 인기 있는 곳이지만, 직원들은 놀랍도록 친절하며 단체 손님을 위해 좌석을 추가로 마련해 줄 정도입니다. 건강한 빵과 커피가 다양하게 준비되어 있어 친구들과 편안하게 수다를 떨기에 완벽한 장소입니다. 시그니처 메뉴인 커피빵과 무화과호밀빵을 산미가 살짝 느껴지는 고급스러운 커피와 함께 즐겨보세요."
blueribbon,Onion,서울특별시 종로구 계동길 5,Seoul,South Korea,RIBBON_TWO,,,070-7543-2123,,2026,,37.57738681090379,126.98637445896094,2026-02-17T22:29:33.775718+00:00,,,,어니언(안국점),서울특별시 종로구 계동길 5,"Step into Onion Anguk, a cafe that beautifully blends traditional Korean architecture with a modern, spacious vibe. Housed in a charming hanok (한옥), this spot offers a unique atmosphere with both traditional floor seating and contemporary table arrangements. It's a popular destination, especially for international visitors looking to experience a slice of Korean heritage, making it a bustling yet serene escape. The expansive pebble courtyard and the quaint rubber shoe decor add to its distinctive charm.

While the drinks, like the signature chocolate latte with a unique aroma, are noteworthy, the true stars are the pastries. With an overwhelming variety of freshly baked breads that look as good as they taste, choosing your treat is the hardest part. Pair your selection with a coffee or tea for a delightful break in the heart of Seoul.","전통적인 한국 건축과 현대적이고 넓은 분위기가 아름답게 조화를 이루는 카페 어니언 안국에 들어서 보세요. 매력적인 한옥(한옥)에 자리한 이곳은 전통 좌식 공간과 현대적인 테이블 좌석을 모두 갖춘 독특한 분위기를 선사합니다. 특히 한국의 유산을 경험하고 싶은 외국인 방문객들에게 인기 있는 장소이며, 번잡하면서도 고요한 휴식처를 제공합니다. 넓은 자갈 마당과 아기자기한 고무신 장식은 이곳의 독특한 매력을 더합니다.

독특한 향의 시그니처 초콜릿 라떼와 같은 음료도 주목할 만하지만, 진정한 주인공은 바로 페이스트리입니다. 맛있어 보이는 신선하게 구워진 빵이 압도적으로 다양하여, 어떤 간식을 고를지가 가장 어려운 결정이 될 것입니다. 서울 중심부에서 즐거운 휴식을 위해 커피나 차와 함께 선택해 보세요."
blueribbon,NAMUSAIRO,서울특별시 종로구 사직로8길 21,Seoul,South Korea,RIBBON_TWO,,,070-7590-0885,,2026,,37.5746,126.971,2026-02-17T22:29:33.775718+00:00,,,,나무사이로내자,서울특별시 종로구 사직로8길 21,"Nestled in a charming hanok (한옥) style building, Namusairo offers a serene escape with its traditional architecture and hidden courtyards. This highly-awarded cafe, recognized for over a decade with Blue Ribbons, is a must-visit for coffee aficionados. While the basic iced americano (아이스 아메리카노) is already a crowd-pleaser with its rich, satisfying flavor, the real draw is their expertly roasted drip coffee, promising a complex and memorable cup. Don't miss out on their delicious desserts, with the tiramisu being a popular choice among patrons.","전통적인 한옥 건축 양식과 숨겨진 마당이 있는 고즈넉한 공간, 나무사이로는 방문객에게 평온한 휴식을 선사합니다. 10년 이상 블루리본으로 인정받은 이 카페는 커피 애호가들에게 필수 방문 코스입니다. 기본 아이스 아메리카노(아이스 아메리카노)도 이미 풍부하고 만족스러운 맛으로 인기가 많지만, 진정한 매력은 복합적이고 기억에 남는 한 잔을 약속하는 전문적으로 로스팅된 드립 커피에 있습니다. 방문객들에게 인기 있는 티라미수를 포함한 맛있는 디저트도 놓치지 마세요."
blueribbon,평양면옥,서울특별시 중구 장충단로 207,Seoul,South Korea,RIBBON_TWO,,,02-2267-7784 ,,2026,,37.56302915750704,127.0064696447095,2026-02-17T22:29:33.775718+00:00,,,,평양면옥,서울특별시 중구 장충단로 207,"A true taste of Pyongyang, Jangchung-dong Pyeongyang Naengmyeon has been serving its signature subtle broth and chewy buckwheat noodles since 1985. This Michelin-recognized establishment, now in its third generation, offers a refined experience. The star is the Pyeongyang naengmyeon (평양냉면) itself, a delicate yet deeply flavorful dish. Complement your noodles with their handmade mandu (만두), a half-portion of which is available, featuring a soft, tofu-rich filling with a satisfying crunch from bean sprouts.",1985년부터 3대째 이어져 온 장충동 평양면옥은 평양의 맛을 그대로 재현하는 곳입니다. 미슐랭에도 등재된 이곳의 시그니처 메뉴는 슴슴하면서도 깊은 풍미의 육수와 쫄깃한 메밀면이 조화로운 평양냉면(평양냉면)입니다. 냉면과 함께 곁들이기 좋은 메뉴로는 부드러운 두부와 아삭한 숙주나물이 어우러진 담백한 평양식 만두(만두)를 추천합니다. 반 접시 주문도 가능하여 부담 없이 즐길 수 있습니다.
blueribbon,우래옥,서울특별시 중구 창경궁로 62-29,Seoul,South Korea,RIBBON_TWO,,,02-2265-0151 ,,2026,,37.56817,126.9988,2026-02-17T22:29:33.775718+00:00,,,,우래옥,서울특별시 중구 창경궁로 62-29,"Steeped in history since 1946, Woo Lae Oak is a revered institution for Pyongyang-style naengmyeon (평양냉면). Despite its long legacy, expect a significant wait, even on weekdays, as this spot draws crowds eager for its famously clean and delicate broth. The atmosphere is traditional and tidy, offering a comfortable space to enjoy a classic meal. Don't miss the opportunity to try their signature naengmyeon or take home their hearty yukgaejang (육개장).","1946년부터 이어져 온 오랜 역사와 전통을 자랑하는 우래옥은 평양냉면의 성지로 불립니다. 오랜 명성에도 불구하고 평일에도 긴 웨이팅이 예상되지만, 그만큼 깔끔하고 담백한 육수의 맛을 보기 위해 많은 이들이 찾는 곳입니다. 전통적이면서도 정갈한 분위기에서 편안하게 식사를 즐길 수 있습니다. 대표 메뉴인 평양냉면은 물론, 포장 가능한 푸짐한 육개장(육개장)도 놓치지 마세요."
blueribbon,평래옥,서울특별시 중구 마른내로 21-1,Seoul,South Korea,RIBBON_TWO,,,02-2267-5892 ,,2026,,37.56487,126.9904,2026-02-17T22:29:33.775718+00:00,,,,평래옥,서울특별시 중구 마른내로 21-1,"Step into Pyeongraeok (평래옥), a venerable establishment in Euljiro (을지로) serving North Korean (이북) cuisine since 1950. While the signature Pyeongyang naengmyeon (평양냉면) offers a subtly savory chicken broth that might surprise even skeptics, the true stars for many are the handmade Pyeongyang mandu (평양 만두). These dumplings boast a delicate wrapper and a flavorful filling of meat and vegetables, making them a must-try. Don't miss the dak-muchim (닭무침) either – a refreshing, tangy, and slightly spicy chicken salad that perfectly complements the meal.","1950년부터 을지로(Euljiro)에서 이북(North Korean) 음식을 선보여온 유서 깊은 맛집, 평래옥(Pyeongraeok)을 만나보세요. 시그니처 메뉴인 평양냉면(Pyeongyang naengmyeon)은 은은한 닭 육수(chicken broth)의 감칠맛으로 평냉을 즐기지 않는 분들에게도 신선한 경험을 선사할 것입니다. 하지만 이곳의 진정한 별미는 바로 손으로 빚은 평양만두(Pyeongyang mandu)입니다. 얇으면서도 속이 꽉 찬 만두는 고기와 채소의 조화로운 맛으로 잊을 수 없는 풍미를 자랑합니다. 닭고기와 오이를 새콤달콤매콤하게 무쳐낸 닭무침(dak-muchim) 또한 놓칠 수 없는 별미이니 꼭 함께 즐겨보세요."
