source,name,address,city,country,category,cuisine,price,phone,url,year,description,latitude,longitude,captured_at,kakao_id,kakao_url,korean_query,name_ko,address_ko
blueribbon,영춘옥,서울특별시 종로구 돈화문로5가길 13,Seoul,South Korea,RIBBON_TWO,,,02-765-4237 ,,2026,,37.57132,126.991513,2026-02-17T22:29:33.775718+00:00,,,,영춘옥,서울특별시 종로구 돈화문로5가길 13
blueribbon,서북면옥,서울특별시 광진구 자양로 199-1,Seoul,South Korea,RIBBON_TWO,,,02-457-8319 ,,2026,,37.54538,127.0853,2026-02-17T22:29:33.775718+00:00,,,,서북면옥,서울특별시 광진구 자양로 199-1
blueribbon,하동관,서울특별시 중구 명동9길 12,Seoul,South Korea,RIBBON_TWO,,,02-776-5656 ,,2026,,37.56441,126.9851,2026-02-17T22:29:33.775718+00:00,,,,하동관,서울특별시 중구 명동9길 12
blueribbon,경인미술관전통다원,서울특별시 종로구 인사동10길 11-4,Seoul,South Korea,RIBBON_TWO,,,02-730-6305 ,,2026,,37.57451,126.9856,2026-02-17T22:29:33.775718+00:00,,,,경인미술관전통다원,서울특별시 종로구 인사동10길 11-4
blueribbon,MAYBELL BAKERY,서울특별시 용산구 이태원로45길 34,Seoul,South Korea,RIBBON_TWO,,,0507-1332-9481,,2026,MAYBELL BAKERY,37.5366074435475,126.997831352071,2026-02-17T22:29:33.775718+00:00,,,,오월의종,서울특별시 용산구 이태원로45길 34
blueribbon,Onion,서울특별시 종로구 계동길 5,Seoul,South Korea,RIBBON_TWO,,,070-7543-2123,,2026,Onion,37.57738681090379,126.98637445896094,2026-02-17T22:29:33.775718+00:00,,,,어니언(안국점),서울특별시 종로구 계동길 5
blueribbon,NAMUSAIRO,서울특별시 종로구 사직로8길 21,Seoul,South Korea,RIBBON_TWO,,,070-7590-0885,,2026,NAMUSAIRO,37.5746,126.971,2026-02-17T22:29:33.775718+00:00,,,,나무사이로내자,서울특별시 종로구 사직로8길 21
blueribbon,평양면옥,서울특별시 중구 장충단로 207,Seoul,South Korea,RIBBON_TWO,,,02-2267-7784 ,,2026,,37.56302915750704,127.0064696447095,2026-02-17T22:29:33.775718+00:00,,,,평양면옥,서울특별시 중구 장충단로 207
blueribbon,우래옥,서울특별시 중구 창경궁로 62-29,Seoul,South Korea,RIBBON_TWO,,,02-2265-0151 ,,2026,,37.56817,126.9988,2026-02-17T22:29:33.775718+00:00,,,,우래옥,서울특별시 중구 창경궁로 62-29
blueribbon,평래옥,서울특별시 중구 마른내로 21-1,Seoul,South Korea,RIBBON_TWO,,,02-2267-5892 ,,2026,,37.56487,126.9904,2026-02-17T22:29:33.775718+00:00,,,,평래옥,서울특별시 중구 마른내로 21-1
blueribbon,청진옥,서울특별시 종로구 종로3길 32,Seoul,South Korea,RIBBON_TWO,,,02-735-1690 ,,2026,,37.571716,126.979423,2026-02-17T22:29:33.775718+00:00,,,,청진옥,서울특별시 종로구 종로3길 32
blueribbon,대성집,서울특별시 종로구 사직로 5,Seoul,South Korea,RIBBON_TWO,,,02-735-4259 ,,2026,,37.57269,126.960904,2026-02-17T22:29:33.775718+00:00,,,,대성집,서울특별시 종로구 사직로 5
blueribbon,The Ninth Gate Grille,서울특별시 중구 소공로 106,Seoul,South Korea,RIBBON_TWO,,,02-317-0366,,2026,The Ninth Gate Grille,37.5644841324893,126.980184460247,2026-02-17T22:29:33.775718+00:00,,,,나인스게이트,서울특별시 중구 소공로 106
blueribbon,무수옥,서울특별시 도봉구 도봉로165길 15,Seoul,South Korea,RIBBON_TWO,,,02-954-6292 ,,2026,,37.67699,127.0442,2026-02-17T22:29:33.775718+00:00,,,,무수옥,서울특별시 도봉구 도봉로165길 15
blueribbon,Napoleon,서울특별시 성북구 성북로 7,Seoul,South Korea,RIBBON_TWO,,,02-742-7421 ,,2026,Napoleon,37.58889,127.0051,2026-02-17T22:29:33.775718+00:00,,,,나폴레옹과자점,서울특별시 성북구 성북로 7
blueribbon,Richemont bakery,서울특별시 마포구 월드컵북로 86,Seoul,South Korea,RIBBON_TWO,,,02-325-0221,,2026,Richemont bakery,37.56141,126.9156,2026-02-17T22:29:33.775718+00:00,,,,리치몬드과자점,서울특별시 마포구 월드컵북로 86
blueribbon,이태리재,서울특별시 종로구 율곡로1길 74-9,Seoul,South Korea,RIBBON_TWO,,,070-4233-6262 ,,2026,,37.578765,126.981726,2026-02-17T22:29:33.775718+00:00,,,,이태리재,서울특별시 종로구 율곡로1길 74-9
blueribbon,두가헌,서울특별시 종로구 삼청로 14,Seoul,South Korea,RIBBON_TWO,,,02-3210-2100 ,,2026,,37.577089,126.980272,2026-02-17T22:29:33.775718+00:00,,,,두가헌,서울특별시 종로구 삼청로 14
blueribbon,토속촌,서울특별시 종로구 자하문로5길 5,Seoul,South Korea,RIBBON_TWO,,,02-737-7444 ,,2026,,37.5776,126.9717,2026-02-17T22:29:33.775718+00:00,,,,토속촌,서울특별시 종로구 자하문로5길 5
blueribbon,키즈나,서울특별시 종로구 율곡로1길 78,Seoul,South Korea,RIBBON_TWO,,,02-722-0411 ,,2026,,37.578806133812215,126.98162396312134,2026-02-17T22:29:33.775718+00:00,,,,키즈나,서울특별시 종로구 율곡로1길 78
blueribbon,몽탄,서울특별시 용산구 백범로99길 50,Seoul,South Korea,RIBBON_TWO,,,02-794-8592,,2026,,37.53599611626749,126.97224352471865,2026-02-17T22:29:33.775718+00:00,,,,몽탄,서울특별시 용산구 백범로99길 50
blueribbon,금돼지식당,서울특별시 중구 다산로 149,Seoul,South Korea,RIBBON_TWO,,,0507-1307-8750,,2026,,37.55709299058367,127.01166616636434,2026-02-17T22:29:33.775718+00:00,,,,금돼지식당,서울특별시 중구 다산로 149
blueribbon,Panello,서울특별시 마포구 어울마당로5길 29,Seoul,South Korea,RIBBON_TWO,,,010-3460-9899,,2026,Panello,37.549353,126.918942,2026-02-17T22:29:33.775718+00:00,,,,빠넬로,서울특별시 마포구 어울마당로5길 29
blueribbon,Matthew,서울특별시 성동구 뚝섬로15길 31,Seoul,South Korea,RIBBON_TWO,,,02-465-9125,,2026,Matthew,37.5392021126229,127.061988341323,2026-02-17T22:29:33.775718+00:00,,,,매튜,서울특별시 성동구 뚝섬로15길 31
blueribbon,JUEUN,서울특별시 종로구 경희궁길 36,Seoul,South Korea,RIBBON_TWO,,,02-540-8580,,2026,JUEUN,37.5729199136655,126.970063182815,2026-02-17T22:29:33.775718+00:00,,,,주은,서울특별시 종로구 경희궁길 36
blueribbon,GiGAS,서울특별시 중구 퇴계로6가길 30,Seoul,South Korea,RIBBON_TWO,,,02-3448-9929,,2026,GiGAS,37.5569763923852,126.978121332046,2026-02-17T22:29:33.775718+00:00,,,,기가스,서울특별시 중구 퇴계로6가길 30
blueribbon,CESTA,서울특별시 용산구 한남대로20길 21-18,Seoul,South Korea,RIBBON_TWO,,,02-793-9400,,2026,CESTA,37.5352206526869,127.009105052515,2026-02-17T22:29:33.775718+00:00,,,,세스타,서울특별시 용산구 한남대로20길 21-18
