Neighborhood,Category,Restaurant Name,Score,Award Level,Justification,Description EN,Description KO,Kakao URL,Latitude,Longitude,Auditor Comments,Rating Justified,Auditor Reason,Needs Manual Review,Upgrade Recommended,AI Justification,Reclassify Eligible,Sponsored Ratio,Guide Description,Guide Description KO
신당동,양조장,춘풍양조장,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Chunpung Brewery offers a truly unique experience with its AI-driven brewing techniques, yielding makgeolli with remarkable depth and distinct flavor profiles. While the ingredient quality and long-term consistency remain somewhat unproven, the innovative spirit and masterful execution of its beverages are undeniable.","춘풍양조장은 AI 양조 기법으로 빚어낸 깊고 개성 있는 막걸리로 독특한 미식 경험을 선사합니다. 식재료의 명확한 품질과 일관성에 대한 정보는 부족하지만, 혁신적인 정신과 음료에 대한 탁월한 기술력은 분명합니다.",http://place.map.kakao.com/896355062,37.55330631,127.0092324,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",False,False,,,,"Chunpung Brewery in Sindang-dong stands out for its AI-driven brewing techniques, producing makgeolli with remarkable depth and distinct flavor profiles. This spot embodies an innovative spirit and a masterful execution of its beverages, making it a craft beer destination well worth a visit.",신당동의 춘풍양조장은 AI 기반 양조 기술로 깊이와 독특한 풍미를 지닌 막걸리를 선보입니다. 혁신적인 정신과 음료에 대한 탁월한 실행력을 보여주는 이곳은 방문할 가치가 충분한 수제 맥주 명소입니다.
창천동,수제맥주,뉴타운,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"This gastropub, run by beer sommelier champions, offers an unparalleled selection of craft beers and surprisingly excellent food like their signature burger. While the beer selection and overall quality are stellar, occasional inconsistencies in a specific beer's taste prevent it from reaching higher echelons.","한국 비어 소믈리에 챔피언들이 운영하는 이곳은 타의 추종을 불허하는 수제 맥주 셀렉션과 뛰어난 버거를 선보입니다. 전반적인 맥주 퀄리티와 음식은 훌륭하나, 가끔 맥주 맛의 일관성이 흔들리는 점이 아쉽습니다.",http://place.map.kakao.com/1702788673,37.55911384,126.9385665,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",False,False,,,,"Helmed by champion beer sommeliers, Newtown presents an unparalleled selection of craft beers, perfectly paired with surprisingly excellent gastropub fare, including their signature burger. This spot is a must-visit for a stellar craft beer experience.","챔피언 비어 소믈리에들이 이끄는 뉴타운은 비할 데 없는 수제 맥주 셀렉션을 선보입니다. 시그니처 버거를 포함한 놀랍도록 훌륭한 개스트로펍 요리와 함께, 이곳은 뛰어난 수제 맥주 경험을 찾는 이들에게 꼭 들러야 할 곳입니다."
익선동,수제맥주,에일당,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Ale-dang offers a charming Hanok setting for its unique, house-brewed craft beers, making it a delightful spot for a casual drink. While the beer and distinctive pizza impress, the pasta occasionally reveals a lapse in culinary technique.","에일당은 매력적인 한옥 공간에서 자체 양조 수제맥주를 선보이며, 가벼운 한잔을 즐기기 좋은 곳입니다. 맥주와 개성 있는 피자는 훌륭하지만, 파스타 조리법에서는 가끔 아쉬움이 드러납니다.",http://place.map.kakao.com/1167226072,37.57351471,126.9900859,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",False,False,,,,"In 익선동, 에일당 provides a charming Hanok setting to enjoy unique, house-brewed craft beers and distinctive pizza. While the pasta occasionally reveals a lapse in culinary technique, it remains a delightful spot for a casual drink and a worthwhile stop.","익선동의 에일당은 매력적인 한옥 공간에서 독특한 하우스 수제 맥주와 특별한 피자를 즐길 수 있는 곳입니다. 파스타는 때때로 조리 기술의 아쉬움을 보이지만, 가볍게 한잔하기 좋은 즐거운 장소이자 방문할 가치가 충분합니다."
필동,수제맥주,붐박스 2호점,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Boombox 2hojeom offers a truly unique music pub experience with its hip interior and interactive song request system, making it a vibrant destination for craft beer lovers. While the curated beer selection is commendable, the high price of some rare brews slightly diminishes its overall value.","붐박스 2호점은 힙한 인테리어와 신청곡 시스템으로 독특한 뮤직펍 경험을 선사하며, 수제 맥주 애호가들에게 활기찬 목적지가 됩니다. 엄선된 맥주 셀렉션은 칭찬할 만하지만, 일부 희귀 맥주의 높은 가격은 전반적인 가치를 다소 떨어뜨립니다.",http://place.map.kakao.com/371955195,37.5608919,126.9919551,"This receipt mentions '인테리어가 멋져요' which translates to 'the interior is cool' or 'the interior is nice'. This is a complimentary remark about the restaurant's atmosphere, aligning with the 80/100 score.",Yes,"The review is a positive one, focusing on the attractiveness of the restaurant's interior, which is consistent with the AI score of 80/100.",False,False,,,,"Boombox 2hojeom in Pildong delivers a vibrant and unique music pub experience, perfect for craft beer enthusiasts. Its hip interior and interactive song request system create an engaging atmosphere, complemented by a commendable curated selection of brews.","필동에 위치한 붐박스 2호점은 수제맥주 애호가들을 위한 활기차고 독특한 뮤직 펍 경험을 선사합니다. 힙한 인테리어와 인터랙티브한 곡 신청 시스템이 매력적인 분위기를 조성하며, 훌륭하게 선별된 맥주 컬렉션이 이를 더욱 돋보이게 합니다."
역삼동,수제맥주,구스아일랜드 브루하우스,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Goose Island Brewhouse offers a commendable experience, particularly with its in-house brewed beers and well-executed deep-dish pizza. While the overall value and ingredient specifics could be clearer, it stands as a reliable spot for group gatherings.","구스아일랜드 브루하우스는 매장 내 양조 맥주와 훌륭한 딥디쉬 피자로 인상적인 경험을 선사합니다. 전반적인 가성비와 식재료의 구체적인 품질은 아쉬울 수 있지만, 단체 모임을 위한 믿음직한 장소입니다.",http://place.map.kakao.com/375799906,37.49333431,127.031997,"This review mentions positive aspects such as the interior, good for groups, and the availability of special menus. The mention of 'Special' menu implies the food quality might be high. No negative comments are present, and the tone is positive overall.",Yes,"The reviews are all positive and complimentary without mentioning any negative aspects about the food or service. The presence of a special menu could indicate good offerings, which aligns with the AI score of 80/100.",False,False,,,,"Goose Island Brewhouse is a commendable craft beer spot, celebrated for its excellent in-house brewed beers. It also offers a well-executed deep-dish pizza, making it a reliable destination, especially for group gatherings.","구스아일랜드 브루하우스는 훌륭한 자체 양조 맥주로 유명한 수제 맥주 명소입니다. 잘 만들어진 딥디쉬 피자도 함께 즐길 수 있어, 특히 단체 모임을 위한 믿을 수 있는 장소입니다."
역삼동,수제맥주,나즈드라비 강남대로점,80,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Nazdravi offers a uniquely charming Czech pub experience, complete with a toy train delivering beer and specialized Pilsner Urquell pours. While the Koleno is a standout dish, be mindful of its price and a potential off-note in their Kozel White beer.","나즈드라비는 장난감 기차가 맥주를 서빙하는 독특한 체코펍 분위기로 특별한 경험을 선사합니다. 꼴레뇨는 훌륭하지만 가격을 고려해야 하며, 코젤 화이트 맥주에서는 미세한 아쉬움이 있을 수 있습니다.",http://place.map.kakao.com/1489893761,37.50206112,127.0260566,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",False,False,,,,"Nazdravi Gangnam-daero offers a uniquely charming Czech pub experience, complete with a delightful toy train delivering your beer. Indulge in their specialized Pilsner Urquell pours and don't miss the standout Koleno dish. This craft beer spot is truly worth a stop.",나즈드라비 강남대로점은 맥주를 서빙하는 장난감 기차가 있는 독특하고 매력적인 체코 펍 경험을 선사합니다. 특별한 필스너 우르켈 따르기와 함께 시그니처 메뉴인 콜레노를 꼭 맛보세요. 이곳은 방문할 가치가 충분한 수제맥주 명소입니다.
성수동,치킨,감닭오구공공,80,1 Neon Heart,"The score of 80 reflects solid ingredient quality, good flavor mastery, and excellent value, balanced against a less distinct culinary personality and good, but not exceptional, consistency, which is genuinely supported by organic reviews.","Gam Dal Oh Gu Gong Gong delivers on its promise of affordable, well-executed fried chicken, especially its popular garlic soy variant. While the owner's kindness is appreciated, the culinary personality remains somewhat understated, preventing it from truly standing out.","감닭오구공공은 합리적인 가격에 잘 조리된 치킨, 특히 인기 있는 마늘간장치킨으로 기대를 충족시킵니다. 친절한 사장님은 좋지만, 요리 자체의 개성은 다소 평범하여 특별한 인상을 남기기에는 부족합니다.",http://place.map.kakao.com/722623702,37.53817807,127.0544329,"The reviews highlight the delicious food, especially the chicken and hot pot noodle, with the reviewer suggesting others to try it. Despite the low price, the reviewer recommends the restaurant with some mild complaints about the price. Overall, the reviews are positive and enthusiastic.",Yes,"The restaurant received a high score from an AI auditor (80/100), and the customer reviews are positive and complimentary.",False,False,,,,"Gam Dal Oh Gu Gong Gong in Seongsu-dong is a reliable destination for well-executed fried chicken, particularly lauded for its popular garlic soy variant. Guests appreciate the excellent value, solid ingredient quality, and skillful flavor mastery that define this affordable spot.","성수동의 감닭오구공공은 훌륭하게 조리된 프라이드치킨을 선보이며, 특히 인기 있는 갈릭 간장 치킨으로 많은 사랑을 받습니다. 합리적인 가격에 뛰어난 가치, 견고한 재료 품질, 그리고 섬세한 맛의 조화를 경험할 수 있는 곳입니다."
서초동,양조장,느린마을양조장 강남점,81,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Nueun Maeul Brewery Gangnam offers a genuinely unique urban brewery experience, serving fresh, additive-free makgeolli crafted on-site. While the accompanying Korean dishes are solid, the true star is the distinctive, seasonally-inspired traditional rice wine and the vibrant atmosphere.","느린마을양조장 강남점은 도심 속에서 직접 빚은 신선한 무감미료 막걸리를 맛볼 수 있는 독특한 공간입니다. 음식은 막걸리와 훌륭한 조화를 이루지만, 이곳의 진정한 매력은 계절 막걸리의 깊은 풍미와 활기찬 양조장 분위기에 있습니다.",http://place.map.kakao.com/20373259,37.49812206,127.0254038,"The reviews highlight the positive aspects such as the ambiance, the uniqueness of the menu, and the overall experience. However, there are some minor points that could be improved, such as the taste of the food. The customer mentions that the dishes are generally very good but a few items like the boiled lobster need adjustment to better suit the customer's preferences.",Yes,"While the reviews are overwhelmingly positive, there is a suggestion for improvement in the food quality, which prevents this from being a perfect score. The overall tone of the reviews suggests a high satisfaction level.",False,False,,,,"Nueun Maeul Brewery Gangnam offers a unique urban brewery experience, crafting fresh, additive-free makgeolli on-site. While the accompanying Korean dishes are solid, the true highlight is their distinctive, seasonally-inspired traditional rice wine, enjoyed in a vibrant atmosphere.","느린마을양조장 강남점은 신선하고 무첨가 막걸리를 현장에서 직접 빚어내는 독특한 도심 양조장 경험을 선사합니다. 든든한 한식 요리도 훌륭하지만, 이곳의 진정한 별미는 활기찬 분위기 속에서 즐기는 독특하고 계절별 영감을 받은 전통 막걸리입니다."
서초동,수제맥주,더블린브루어리 교대점,82,1 Neon Heart,"The score of 82 reflects strong points in beer quality, unique operational concept, and consistent atmosphere, balanced against minor flaws in food execution and value, with no sponsorship penalty applied due to a low sponsored ratio.","더블린브루어리 교대점 excels with its expertly poured world beers and a unique dual-concept operation, though some food items fall short of perfection. It's a reliable spot for beer enthusiasts seeking a consistently pleasant atmosphere.","더블린브루어리 교대점은 전문적으로 따르는 세계 맥주와 독특한 주야간 운영 방식으로 돋보이지만, 일부 안주류는 완벽함에 미치지 못합니다. 맥주 애호가들에게 꾸준히 즐거운 분위기를 선사하는 믿음직한 장소입니다.",http://place.map.kakao.com/1102060747,37.49184947,127.0129327,Customer receipts mention a nice interior and good basic appetizers.,Yes,"The AI score of 82/100 falls within the 70-89 range. The customer receipts provide generic positive feedback ('nice interior', 'good basic appetizers'), which is sufficient to justify the score according to the 70+ BASELINE rule.",False,False,,,,더블린브루어리 교대점 excels with its expertly poured world beers and a unique dual-concept operation. It is a reliable destination for beer enthusiasts seeking a consistently pleasant atmosphere.,더블린브루어리 교대점은 전문적으로 따르는 세계 맥주와 독특한 이중 컨셉 운영으로 뛰어남을 보여줍니다. 일관되게 쾌적한 분위기를 찾는 맥주 애호가들에게 믿을 수 있는 장소입니다.
권농동,수제맥주,서울집시 서순라길점,82,1 Neon Heart,Supreme Court Verified: A craft beer spot definitely worth a stop if you're in the area.,"Seoul Gypsy offers a dynamic craft beer experience with its own brewery and frequently rotating taps, complemented by creative dishes that mostly hit the mark. While some food items are merely adequate, the overall unique concept and consistent quality make it a worthy spot for beer enthusiasts.","서울집시는 자체 양조장과 다채로운 맥주 라인업으로 독특한 수제맥주 경험을 선사하며, 대부분 만족스러운 창의적인 요리들을 선보입니다. 일부 음식은 평범할 수 있으나, 독창적인 컨셉과 꾸준한 품질은 맥주 애호가들에게 충분히 매력적입니다.",http://place.map.kakao.com/1191323603,37.57502489,126.9915551,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",False,False,,,,"Seoul Gypsy presents a dynamic craft beer experience, featuring its own brewery and frequently rotating taps for an ever-evolving selection. Complementing the brews are creative dishes that mostly hit the mark, solidifying its reputation as a consistent and unique destination for any beer enthusiast.","서울집시 서순라길점은 자체 양조장과 자주 바뀌는 탭 라인업으로 역동적인 수제 맥주 경험을 선사합니다. 대부분 만족스러운 창의적인 요리가 맥주와 조화를 이루며, 이곳만의 독특한 콘셉트와 한결같은 품질은 맥주 애호가라면 꼭 들러야 할 곳으로 만듭니다."
